==============================================================================
==============================================================================
 Apr. 19 2014                  LANDSAT 5                       Time: 12:12
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404185054_00002                          Path / Row - 224 / 63
Reference Image: L51CUB1088227120102_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 98.5%
Rank   2 --  1.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240631182   -3.79073    -49.55023    -0.02      0.01     0.02     1 
2240631183   -3.79068    -49.52268    -0.28     -0.06     0.28     1 
2240631184   -3.79063    -49.49513    -0.08     -0.14     0.16     1 
2240631212   -3.81689    -50.79024     0.35     -0.14     0.37     1 
2240631215   -3.81686    -50.70756    -0.06     -0.15     0.16     1 
2240631222   -3.81678    -50.51464    -0.21     -0.00     0.21     1 
2240631228   -3.81667    -50.34929    -0.26     -0.10     0.28     1 
2240631230   -3.81662    -50.29417    -0.07      0.01     0.07     1 
2240631231   -3.81660    -50.26661    -0.11      0.03     0.12     1 
2240631235   -3.81650    -50.15638    -0.17      0.04     0.18     1 
2240631236   -3.81647    -50.12883    -0.09     -0.04     0.10     1 
2240631237   -3.81644    -50.10127    -0.07     -0.01     0.08     1 
2240631238   -3.81641    -50.07371    -0.11     -0.07     0.13     1 
2240631239   -3.81638    -50.04616    -0.06     -0.08     0.10     1 
2240631240   -3.81635    -50.01860    -0.16     -0.14     0.21     1 
2240631241   -3.81632    -49.99104    -0.13     -0.19     0.23     1 
2240631242   -3.81629    -49.96349    -0.12     -0.20     0.24     1 
2240631243   -3.81625    -49.93593    -0.11     -0.19     0.22     1 
2240631244   -3.81622    -49.90838    -0.12     -0.17     0.20     1 
2240631245   -3.81618    -49.88082    -0.11     -0.14     0.18     1 
2240631246   -3.81615    -49.85327    -0.06     -0.03     0.06     1 
2240631247   -3.81611    -49.82571    -0.09     -0.02     0.10     1 
2240631248   -3.81607    -49.79816     0.01      0.06     0.06     1 
2240631249   -3.81603    -49.77061    -0.03      0.07     0.08     1 
2240631250   -3.81599    -49.74305    -0.08     -0.03     0.08     1 
2240631251   -3.81595    -49.71550     0.12     -0.03     0.13     1 
2240631252   -3.81591    -49.68795    -0.18      0.01     0.18     1 
2240631253   -3.81587    -49.66039    -0.05     -0.06     0.08     1 
2240631254   -3.81582    -49.63284    -0.15     -0.13     0.20     1 
2240631255   -3.81578    -49.60529     0.11     -0.10     0.15     1 
2240631256   -3.81573    -49.57774    -0.12      0.04     0.12     1 
2240631257   -3.81569    -49.55018    -0.09     -0.09     0.13     1 
2240631258   -3.81564    -49.52263    -0.02     -0.52     0.52     2 
2240631262   -3.81544    -49.41243     0.03     -0.21     0.21     1 
2240631264   -3.81534    -49.35733    -0.35     -0.10     0.37     1 
2240631265   -3.81529    -49.32979    -0.18     -0.39     0.43     1 
2240631268   -3.81512    -49.24714     0.04      0.01     0.04     1 
2240631287   -3.84186    -50.79023    -0.17     -0.21     0.27     1 
2240631291   -3.84182    -50.67999    -0.51     -0.19     0.54     2 
2240631292   -3.84181    -50.65243    -0.29     -0.28     0.41     1 
2240631293   -3.84180    -50.62487    -0.09     -0.05     0.10     1 
2240631295   -3.84178    -50.56975     0.11     -0.13     0.17     1 
2240631296   -3.84176    -50.54219    -0.04     -0.05     0.06     1 
2240631297   -3.84175    -50.51463    -0.21     -0.13     0.25     1 
2240631298   -3.84173    -50.48707    -0.24     -0.03     0.25     1 
2240631303   -3.84164    -50.34927    -0.20     -0.08     0.22     1 
2240631304   -3.84161    -50.32171    -0.23      0.03     0.23     1 
2240631305   -3.84159    -50.29415    -0.07      0.12     0.14     1 
2240631308   -3.84152    -50.21148    -0.10     -0.06     0.12     1 
2240631309   -3.84149    -50.18392    -0.01     -0.02     0.03     1 
